June,July,August
27.2,27.2,27.9
24.7,25.1,24.5
28.1,28.6,28.5
31.6,32.1,32.3
23.4,24.8,24.8
23.6,25.4,25.5
31.6,31.8,31.4
28.3,29,27.9
23.4,24.2,22.7
29.1,28.4,28.4
23.4,24.5,24
23.7,23.6,23.6
26.4,26.2,26.6
17.7,19,17.3
17.9,19.3,19.8
23.1,23.4,23.3
20.6,22.7,21.5
26.1,27.3,27.1
21.1,23,22.1
19.4,20.4,20
32,32.9,31
23.2,26,24.8
25.6,26.1,26.7
18.5,20.8,20.5
22.6,24.1,24.1
26,27.1,25.7
20.4,20.9,20.4
26,27.8,26.9
22.2,24.1,23.1
24.2,24,24.9
22.2,23,22.2
32.5,32.4,33.7
25,25.8,25.4
20.4,22.1,21.1
29.4,30,28.3
20.4,21.2,19.8
24.8,27.6,26.7
17.3,17.5,17.7
19.4,19.8,19.5
26.2,26.8,25.6
27.6,29.1,28.3
25.6,26.7,27
24.8,24.5,24.9
24.2,24.8,23.5
18.5,19.4,19.5
22,23.5,22.5
22.9,24.3,22.3
28.9,29.8,29.7
27.3,27.1,26.8
18.2,18.4,18.8
25.7,27.3,27.7
23.9,24.9,24.5
23.4,22.8,22.7
28,28.7,27.4
28.4,29.9,30.9
28.5,29.3,29.3
22.3,22.6,22.2
23.4,24.2,24.3
26.5,27,26.9
29.3,29.3,29.3
22.6,25.1,23.3
24.2,25.3,24.5
19,21.2,21.1
19.7,21.3,20.4
28.1,29.2,28.4
29.8,31.3,31
25.5,26,25.1
28.3,30.4,30.3
26.2,27.2,25.6
22.5,23.1,23.5
27.2,27.3,27.6
30.4,31,30.6
25.4,25.1,25.2
31.3,32.9,31.6
14,16.3,14.3
28.5,29.2,28.4
25.4,26.6,25.3
23.5,25,25.2
25.4,27.9,26.3
16.9,18.6,18.2
24.2,25.1,25
26.8,27,26.4
31.7,31.1,31.1
22.3,24,23.7
22.8,22.4,21.7
22,23.3,23.8
28.6,29.3,29
26.6,26.8,26.6
23,24.7,23.7
26.7,28.5,27.8
25.3,26.4,25.7
28.6,30.6,30
21.9,23.2,22.2
24.1,24.3,24.5
23.6,25.2,24.2
18.8,20.4,19.5
26.6,26.7,26.8
26.2,26.9,25.9
25.4,25.6,26
24.4,24.4,24.5
18.9,20.8,19.6
23,25.3,24.3
24,23.9,23.8
22.1,23.1,21.6
24.3,25,24.1
26.7,27.4,27.4
33.2,33.2,32.4
25.4,26.3,27.1
26.3,27.1,25.5
24.6,25.3,26.1
17.2,18.5,17.9
25.4,25.9,25.3
25.7,26.1,25.5
35.3,35.4,35.6
24.9,24.9,24.7
26.2,27.6,27.3
25.2,26.1,25.4
20.2,20.8,20.9
29.7,30.6,29.9
27.9,29.4,28.5
28.2,28.3,28.8
21.7,22.6,21
30.2,31.3,30.4
20.4,20.7,20.3
26.8,28,27.9
33.2,33.9,34.2
21.6,21.2,21.5
23.1,23.8,23.4
25.7,26.5,25.6
23.3,23.5,23.1
18.8,20.1,19.4
24.8,25.4,25.3
20.8,21.7,21.5
26.6,27.3,26.5
21.8,22,22.3
31.1,32.2,31.9
21.5,22.4,22.5
23.6,24.5,24.7
28.5,29.8,29.6
19.8,20.8,21.1
25.5,27.3,25.5
30.4,30.7,30.1
18.7,19.8,18.8
25.5,27.5,26.3
25.8,25.8,26.8
28.2,28.7,28.3
19.3,21.3,20.6
19,20.6,19.8
26.7,28.3,27.3
26.1,26.9,26
26.2,27,26
27.1,27.3,26.2
22.7,23.9,22.3
25.8,27.1,27
26.2,27.3,26.2
21.6,22.9,24
32.5,33.2,33.2
26.8,27.7,27.5
20.4,21.4,20.3
27.2,28.4,28.5
21.4,22.2,21.3
28.9,30.2,28.7
29.6,31.1,31.4
21.9,22.6,22.2
29.2,30.5,29.9
26.5,27.4,26.8
28.4,28.3,28.8
32.6,33.1,34
24.1,24.1,24.2
21.6,22.8,23.4
21.5,22.5,22.3
22,23.6,22
25.4,25.9,25.5
26.8,27.3,27.4
27.2,27.5,26.9
27.9,28.2,28
25.5,26.2,25.2
30.9,32.2,31.2
25,24.2,24.4
35.5,37.5,36.7
27.1,28.7,28.1
21.3,22.4,21.4
19.7,22,21.4
26.7,29.1,27.7
23.7,25.2,24.9
27.9,29,28.9
27.1,27.7,27.8
25.6,25.3,25.4
22.1,23,22.1
18.7,19.5,18.6
22.8,24.2,23.9
28.7,29.2,29
25.2,27.1,26.5
20.9,21.2,19.9
26.3,27.2,25.7
26.3,27.3,27.6
20.6,22.3,21.9
26.3,26.1,26.5
25.2,26,25.7
21,21.6,20.9
